1password-cli	2.34.0-1
emacs-common	1:30.1+1-6
emacs-el	1:30.1+1-6
emacs-nox	1:30.1+1-6
emacsen-common	3.0.8
ethtool	1:6.14.2-1
fake-hwclock	0.14
fastfetch	2.62.1
fdisk	2.41-5
figlet	2.2.5-3+b2
findutils	4.10.0-3
firewalld	2.3.1-1
fontconfig-config	2.15.0-2.3
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fping	5.1-1+b1
g++	4:14.2.0-1
g++-14	14.2.0-19
g++-14-aarch64-linux-gnu	14.2.0-19
g++-aarch64-linux-gnu	4:14.2.0-1
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-aarch64-linux-gnu	14.2.0-19
gcc-14-base:arm64	14.2.0-19
gcc-aarch64-linux-gnu	4:14.2.0-1
gettext-base	0.23.1-2
gh	2.92.0
gir1.2-freedesktop:arm64	1.84.0-1
gir1.2-girepository-2.0:arm64	1.84.0-1
gir1.2-glib-2.0:arm64	2.84.4-3~deb13u2
gir1.2-glib-2.0-dev:arm64	2.84.4-3~deb13u2
gir1.2-libosinfo-1.0:arm64	1.12.0-2
gir1.2-nm-1.0:arm64	1.52.1-1
girepository-tools:arm64	2.84.4-3~deb13u2
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
glib-networking:arm64	2.80.1-1
glib-networking-common	2.80.1-1
glib-networking-services	2.80.1-1
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gnupg2	2.4.7-21+deb13u1
gpg	2.4.7-21+deb13u1+b2
gpg-agent	2.4.7-21+deb13u1+b2
gpgconf	2.4.7-21+deb13u1+b2
gpgsm	2.4.7-21+deb13u1+b2
gpgv	2.4.7-21+deb13u1+b2
gpiod	2.2.1-2+deb13u1
grep	3.11-4+b1
groff-base	1.23.0-9
gsettings-desktop-schemas	48.0-1
gzip	1.13-1
hostname	3.25
htop	3.4.1-5
inetutils-ping	2:2.6-3+deb13u3
init	1.69~deb13u1
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.3
initramfs-tools-bin	0.148.3
initramfs-tools-core	0.148.3
install-info	7.1.1-1+b1
iproute2	6.15.0-1
iptables	1.8.11-2
iptables-persistent	1.0.23
ipxe-qemu	1.21.1+git20250501.dad20602+dfsg-1
iw	6.9-1+b1
jq	1.7.1-6+deb13u1
kbd	2.7.1-2
keyboard-configuration	1.242~deb13u1
keyutils	1.6.3-6
klibc-utils	2.0.14-1
kmod	34.2-2
less	668-1
libacl1:arm64	2.3.2-2+b1
libaio1t64:arm64	0.3.113-8+b1
libapparmor1:arm64	4.1.0-1
libapt-pkg7.0:arm64	3.0.3
libaria2-0:arm64	1.37.0+debian-3
libasan8:arm64	14.2.0-19
libasound2-data	1.2.14-1
libasound2t64:arm64	1.2.14-1
libassuan9:arm64	3.0.2-2
libatasmart4:arm64	0.19-5+b2
libatomic1:arm64	14.2.0-19
libatopology2t64:arm64	1.2.14-1
libattr1:arm64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:arm64	1:4.0.2-2+b2
libavahi-client3:arm64	0.8-16
libavahi-common-data:arm64	0.8-16
libavahi-common3:arm64	0.8-16
libbinutils:arm64	2.44-3
libblkid-dev:arm64	2.41-5
libblkid1:arm64	2.41-5
libblockdev-crypto3:arm64	3.3.0-2.1
libblockdev-fs3:arm64	3.3.0-2.1
libblockdev-loop3:arm64	3.3.0-2.1
libblockdev-mdraid3:arm64	3.3.0-2.1
libblockdev-nvme3:arm64	3.3.0-2.1
libblockdev-part3:arm64	3.3.0-2.1
libblockdev-swap3:arm64	3.3.0-2.1
libblockdev-utils3:arm64	3.3.0-2.1
libblockdev3:arm64	3.3.0-2.1
libbluetooth3:arm64	5.82-1.1
libbpf1:arm64	1:1.5.0-3
libbrlapi0.8:arm64	6.7-3.1+deb13u3
libbrotli1:arm64	1.1.0-2+b7
libbsd0:arm64	0.12.2-2
libburn4t64:arm64	1.5.6-1.1+b1
libbytesize-common	2.11-2
libbytesize1:arm64	2.11-2
libbz2-1.0:arm64	1.0.8-6
libc-bin	2.41-12+deb13u2
libc-dev-bin	2.41-12+deb13u2
libc-l10n	2.41-12+deb13u2
libc6:arm64	2.41-12+deb13u2
libc6-dev:arm64	2.41-12+deb13u2
libcaca0:arm64	0.99.beta20-5
libcacard0:arm64	1:2.8.0-3+b2
libcairo-gobject2:arm64	1.18.4-1+b1
libcairo2:arm64	1.18.4-1+b1
libcap-ng0:arm64	0.8.5-4+b1
libcap2:arm64	1:2.75-10+b8
libcap2-bin	1:2.75-10+b8
libcapstone5:arm64	5.0.7-1~deb13u1
libcares2:arm64	1.34.5-1+deb13u1
libcbor0.10:arm64	0.10.2-2
libcc1-0:arm64	14.2.0-19
libcom-err2:arm64	1.47.2-3+b10
libcrack2:arm64	2.9.6-5.2+b1
libcrypt-dev:arm64	1:4.4.38-1
libcrypt1:arm64	1:4.4.38-1
libcryptsetup12:arm64	2:2.7.5-2
libctf-nobfd0:arm64	2.44-3
libctf0:arm64	2.44-3
libcups2t64:arm64	2.4.10-3+deb13u2
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u2
libcurl4t64:arm64	8.14.1-2+deb13u2
libdaxctl1:arm64	81-1
libdb5.3t64:arm64	5.3.28+dfsg2-9
libdbus-1-3:arm64	1.16.2-2
libdconf1:arm64	0.40.0-5
libdebconfclient0:arm64	0.280
libdevmapper1.02.1:arm64	2:1.02.205-2
libdialog15:arm64	1.3-20250116-1
libdpkg-perl	1.22.22
libduktape207:arm64	2.7.0-2+b2
libdw1t64:arm64	0.192-4
libedit2:arm64	3.1-20250104-1
libelf1t64:arm64	0.192-4
liberror-perl	0.17030-1
libestr0:arm64	0.1.11-2
libevent-2.1-7t64:arm64	2.1.12-stable-10+b1
libevent-core-2.1-7t64:arm64	2.1.12-stable-10+b1
libexecs1:arm64	1.4-2+b2
libexpat1:arm64	2.7.1-2
libext2fs2t64:arm64	1.47.2-3+b10
libfastjson4:arm64	1.2304.0-2
libfdisk1:arm64	2.41-5
libfdt1:arm64	1.7.2-2+b1
libffi-dev:arm64	3.4.8-2
libffi8:arm64	3.4.8-2
libfftw3-single3:arm64	3.3.10-2+b1
libfido2-1:arm64	1.15.0-1+b1
libfile-fnmatch-perl	0.02-3+b4
libfontconfig1:arm64	2.15.0-2.3
libfreetype6:arm64	2.13.3+dfsg-1+deb13u1
libfstrm0:arm64	0.6.1-1+b3
libfuse3-4:arm64	3.17.2-3
libgcc-14-dev:arm64	14.2.0-19
libgcc-s1:arm64	14.2.0-19
libgccjit0:arm64	14.2.0-19
libgcrypt20:arm64	1.11.0-7
libgdbm-compat4t64:arm64	1.24-2
libgdbm6t64:arm64	1.24-2
libgio-2.0-dev:arm64	2.84.4-3~deb13u2
libgio-2.0-dev-bin	2.84.4-3~deb13u2
libgirepository-1.0-1:arm64	1.84.0-1
libgirepository-2.0-0:arm64	2.84.4-3~deb13u2
libglib2.0-0t64:arm64	2.84.4-3~deb13u2
libglib2.0-bin	2.84.4-3~deb13u2
libglib2.0-data	2.84.4-3~deb13u2
libglib2.0-dev:arm64	2.84.4-3~deb13u2
libglib2.0-dev-bin	2.84.4-3~deb13u2
libgmp10:arm64	2:6.3.0+dfsg-3
libgnutls30t64:arm64	3.8.9-3+deb13u2
libgomp1:arm64	14.2.0-19
libgpg-error0:arm64	1.51-4
libgpgme11t64:arm64	1.24.2-3
libgpiod3:arm64	2.2.1-2+deb13u1
libgpm2:arm64	1.20.7-11+b2
libgprofng0:arm64	2.44-3
libgssapi-krb5-2:arm64	1.21.3-5
libgudev-1.0-0:arm64	238-6
libhiredis1.1.0:arm64	1.2.0-6+b3
libhogweed6t64:arm64	3.10.1-1
libhwasan0:arm64	14.2.0-19
libibverbs1:arm64	56.1-1
libice6:arm64	2:1.1.1-1
libicu76:arm64	76.1-4
libidn2-0:arm64	2.3.8-2
libiniparser4:arm64	4.2.6-1
libip4tc2:arm64	1.8.11-2
libip6tc2:arm64	1.8.11-2
libisl23:arm64	0.27-1
libisoburn1t64:arm64	1.5.6-1.2+b1
libisofs6t64:arm64	1.5.6.pl01-1.1+b1
libitm1:arm64	14.2.0-19
libjansson4:arm64	2.14-2+b3
libjemalloc2:arm64	5.3.0-3
libjpeg62-turbo:arm64	1:2.1.5-4
libjq1:arm64	1.7.1-6+deb13u1
libjson-c5:arm64	0.18+ds-1
libjson-glib-1.0-0:arm64	1.10.6+ds-2
libjson-glib-1.0-common	1.10.6+ds-2
libjte2:arm64	1.22-4+b2
libk5crypto3:arm64	1.21.3-5
libkeyutils1:arm64	1.6.3-6
libklibc:arm64	2.0.14-1
libkmod2:arm64	34.2-2
libkrb5-3:arm64	1.21.3-5
libkrb5support0:arm64	1.21.3-5
libksba8:arm64	1.6.7-2+b1
liblastlog2-2:arm64	2.41-5
liblcms2-2:arm64	2.16-2
libldap2:arm64	2.6.10+dfsg-1
libldb2:arm64	2:2.11.0+samba4.22.8+dfsg-0+deb13u1
liblmdb0:arm64	0.9.31-1+b2
liblocale-gettext-perl	1.07-7+b1
liblognorm5:arm64	2.0.6-5
liblsan0:arm64	14.2.0-19
liblsof0	4.99.4+dfsg-2
liblua5.1-0:arm64	5.1.5-11
liblz4-1:arm64	1.10.0-4
liblzma5:arm64	5.8.1-1
liblzo2-2:arm64	2.10-3+b1
libmaxminddb0:arm64	1.12.2-1
libmd0:arm64	1.1.0-2+b1
libmm-glib0:arm64	1.24.0-1+deb13u1
libmnl0:arm64	1.0.5-3
libmount-dev:arm64	2.41-5
libmount1:arm64	2.41-5
libmpc3:arm64	1.3.1-1+b3
libmpfr6:arm64	4.2.2-1
libncurses6:arm64	6.5+20250216-2
libncursesw6:arm64	6.5+20250216-2
libndctl6:arm64	81-1
libndp0:arm64	1.9-1+b1
libnetfilter-conntrack3:arm64	1.1.0-1
libnetplan1:arm64	1.1.2-7
libnettle8t64:arm64	3.10.1-1
libnewt0.52:arm64	0.52.25-1
libnfnetlink0:arm64	1.0.2-3
libnfsidmap1:arm64	1:2.8.3-1
libnftables1:arm64	1.1.3-1
libnftnl11:arm64	1.2.9-1
libnghttp2-14:arm64	1.64.0-1.1
libnghttp3-9:arm64	1.8.0-1
libngtcp2-16:arm64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64	1.11.0-1+deb13u1
libnl-3-200:arm64	3.7.0-2
libnl-genl-3-200:arm64	3.7.0-2
libnl-route-3-200:arm64	3.7.0-2
libnm-dev:arm64	1.52.1-1
libnm0:arm64	1.52.1-1
libnpth0t64:arm64	1.8-3
libnspr4:arm64	2:4.36-1
libnss-systemd:arm64	257.9-1~deb13u1
libnss3:arm64	2:3.110-1+deb13u1
libnuma1:arm64	2.0.19-1
libnvme1t64	1.13-2
libonig5:arm64	6.9.9-1+b1
libosinfo-1.0-0:arm64	1.12.0-2
libosinfo-l10n	1.12.0-2
libp11-kit0:arm64	0.25.5-3
libpam-modules:arm64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:arm64	257.9-1~deb13u1
libpam0g:arm64	1.7.0-5
libparted2t64:arm64	3.6-5
libpcap0.8t64:arm64	1.10.5-2
libpciaccess0:arm64	0.17-3+b3
libpcre2-16-0:arm64	10.46-1~deb13u1
libpcre2-32-0:arm64	10.46-1~deb13u1
libpcre2-8-0:arm64	10.46-1~deb13u1
libpcre2-dev:arm64	10.46-1~deb13u1
libpcre2-posix3:arm64	10.46-1~deb13u1
libpcsclite1:arm64	2.3.3-1
libperl5.40:arm64	5.40.1-6
libpipeline1:arm64	1.5.8-1
libpixman-1-0:arm64	0.44.0-3
libpkgconf3:arm64	1.8.1-4
libpmem1:arm64	1.13.1-1.1+b1
libpng16-16t64:arm64	1.6.48-1+deb13u4
libpolkit-agent-1-0:arm64	126-2
libpolkit-gobject-1-0:arm64	126-2
libpopt0:arm64	1.19+dfsg-2
libproc2-0:arm64	2:4.0.4-9
libprotobuf-c1:arm64	1.5.1-1
libproxy1v5:arm64	0.5.9-1
libpsl5t64:arm64	0.21.2-1.1+b1
libpwquality-common	1.4.5-5
libpwquality-tools	1.4.5-5
libpwquality1:arm64	1.4.5-5
libpython3-stdlib:arm64	3.13.5-1
libpython3.13:arm64	3.13.5-2
libpython3.13-minimal:arm64	3.13.5-2
libpython3.13-stdlib:arm64	3.13.5-2
libqrencode4:arm64	4.1.1-2
librdmacm1t64:arm64	56.1-1
libreadline8t64:arm64	8.2-6
libreiserfscore0t64	1:3.6.27-9
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b5
libruby:arm64	1:3.3+b1
libruby3.3:arm64	3.3.8-2
libsamplerate0:arm64	0.2.2-4+b2
libsasl2-2:arm64	2.1.28+dfsg1-9
libsasl2-modules-db:arm64	2.1.28+dfsg1-9
libseccomp2:arm64	2.6.0-2
libselinux1:arm64	3.8.1-1
libselinux1-dev:arm64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:arm64	3.8.1-1
libsepol-dev:arm64	3.8.1-1
libsepol2:arm64	3.8.1-1
libsframe1:arm64	2.44-3
libslang2:arm64	2.3.3-5+b2
libslirp0:arm64	4.8.0-1+b1
libsm6:arm64	2:1.2.6-1
libsmartcols1:arm64	2.41-5
libsodium23:arm64	1.0.18-1+deb13u1
libsoup-3.0-0:arm64	3.6.5-3
libsoup-3.0-common	3.6.5-3
libsqlite3-0:arm64	3.46.1-7+deb13u1
libss2:arm64	1.47.2-3+b10
libssh-4:arm64	0.11.2-1+deb13u1
libssh2-1t64:arm64	1.11.1-1
libssl3t64:arm64	3.5.5-1~deb13u2
libstdc++-14-dev:arm64	14.2.0-19
libstdc++6:arm64	14.2.0-19
libsysprof-capture-4-dev:arm64	48.0-2
libsystemd-shared:arm64	257.9-1~deb13u1
libsystemd0:arm64	257.9-1~deb13u1
libtalloc2:arm64	2:2.4.3+samba4.22.8+dfsg-0+deb13u1
libtasn1-6:arm64	4.20.0-2
libtcl8.6:arm64	8.6.16+dfsg-1
libtdb1:arm64	2:1.4.13+samba4.22.8+dfsg-0+deb13u1
libteamdctl0:arm64	1.31-1+b2
libtevent0t64:arm64	2:0.16.2+samba4.22.8+dfsg-0+deb13u1
libtext-charwidth-perl:arm64	0.04-11+b4
libtext-iconv-perl:arm64	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libtinfo6:arm64	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64:arm64	1.3.6+ds-1
libtree-sitter0.22:arm64	0.22.6-6+b1
libtsan2:arm64	14.2.0-19
libubsan1:arm64	14.2.0-19
libuchardet0:arm64	0.0.8-1+b2
libudev1:arm64	257.9-1~deb13u1
libudisks2-0:arm64	2.10.1-12.1+deb13u1
libunbound8:arm64	1.22.0-2+deb13u1
libunistring5:arm64	1.3-2
liburcu8t64:arm64	0.15.2-2
liburing2:arm64	2.9-1
libusb-1.0-0:arm64	2:1.0.28-1
libusbredirparser1t64:arm64	0.15.0-1
libuuid1:arm64	2.41-5
libuv1t64:arm64	1.50.0-2
libvdeplug2t64:arm64	4.0.1-5.1+b1
libvirt-clients	11.3.0-3+deb13u2
libvirt-common	11.3.0-3+deb13u2
libvirt-daemon	11.3.0-3+deb13u2
libvirt-daemon-common	11.3.0-3+deb13u2
libvirt-daemon-config-network	11.3.0-3+deb13u2
libvirt-daemon-config-nwfilter	11.3.0-3+deb13u2
libvirt-daemon-driver-network	11.3.0-3+deb13u2
libvirt-daemon-driver-nodedev	11.3.0-3+deb13u2
libvirt-daemon-driver-nwfilter	11.3.0-3+deb13u2
libvirt-daemon-driver-qemu	11.3.0-3+deb13u2
libvirt-daemon-driver-secret	11.3.0-3+deb13u2
libvirt-daemon-driver-storage	11.3.0-3+deb13u2
libvirt-daemon-log	11.3.0-3+deb13u2
libvirt-daemon-system	11.3.0-3+deb13u2
libvirt-dbus	1.4.1-4
libvirt-glib-1.0-0:arm64	5.0.0-2+b4
libvirt0:arm64	11.3.0-3+deb13u2
libvolume-key1:arm64	0.3.12-9
libwbclient0:arm64	2:4.22.8+dfsg-0+deb13u1
libwrap0:arm64	7.6.q-36
libwtmpdb0:arm64	0.73.0-3+deb13u1
libx11-6:arm64	2:1.8.12-1
libx11-data	2:1.8.12-1
libxau6:arm64	1:1.0.11-1
libxcb-render0:arm64	1.17.0-2+b1
libxcb-shm0:arm64	1.17.0-2+b1
libxcb1:arm64	1.17.0-2+b1
libxdmcp6:arm64	1:1.1.5-1
libxext6:arm64	2:1.3.4-1+b3
libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxml2-utils	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxmu6:arm64	2:1.1.3-3+b4
libxmuu1:arm64	2:1.1.3-3+b4
libxrender1:arm64	1:0.9.12-1
libxslt1.1:arm64	1.1.35-1.2+deb13u2
libxt6t64:arm64	1:1.2.1-1.2+b2
libxtables12:arm64	1.8.11-2
libxxhash0:arm64	0.8.3-2
libyaml-0-2:arm64	0.2.5-2
libzstd1:arm64	1.5.7+dfsg-1
linux-base	4.12.1
linux-dtb-current-rockchip64	26.2.1
linux-image-current-rockchip64	26.2.1
linux-libc-dev	6.12.85-1
linux-u-boot-nanopi-r6s-vendor	26.2.1
locales	2.41-12+deb13u2
login	1:4.16.0-2+really2.41-5
login.defs	1:4.17.4-2
logrotate	3.22.0-1+b2
logsave	1.47.2-3+b10
lsb-release	12.1-1
lsof	4.99.4+dfsg-2
make	4.4.1-2
man-db	2.13.1-1
mawk	1.3.4.20250131-1
mdevctl	1.4.0-2+b1
media-types	13.0.0
mmc-utils	0+git20240329.f757f413-1+b1
mount	2.41-5
mtd-utils	1:2.3.0-1
nano	8.4-1
native-architecture	0.2.6
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
ncurses-term	6.5+20250216-2
ndppd	0.2.5-6+b1
netbase	6.5
netfilter-persistent	1.0.23
netplan-generator	1.1.2-7
netplan.io	1.1.2-7
network-manager	1.52.1-1
nfs-common	1:2.8.3-1
nfs-kernel-server	1:2.8.3-1
nftables	1.1.3-1
nginx	1.30.0-1~trixie
nginx-common	1.26.3-3+deb13u2
opensbi	1.6-1
openssh-client	1:10.0p1-7+deb13u2
openssh-server	1:10.0p1-7+deb13u2
openssh-sftp-server	1:10.0p1-7+deb13u2
openssl	3.5.5-1~deb13u2
openssl-provider-legacy	3.5.5-1~deb13u2
osinfo-db	0.20250606-1
pahole	1.30-1
parted	3.6-5
passwd	1:4.17.4-2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
pinentry-curses	1.3.1-2
pkg-config:arm64	1.8.1-4
pkgconf:arm64	1.8.1-4
pkgconf-bin	1.8.1-4
polkitd	126-2
procps	2:4.0.4-9
psmisc	23.7-2
pv	1.9.31-1
python3	3.13.5-1
python3-attr	25.3.0-1
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:arm64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-dbus	1.4.0-1
python3-firewall	2.3.1-1
python3-gi	3.50.0-4+b1
python3-idna	3.10-1
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-libvirt	11.3.0-1
python3-libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u2
python3-minimal	3.13.5-1
python3-netplan	1.1.2-7
python3-nftables	1.1.3-1
python3-packaging	25.0-1
python3-referencing	0.36.2-1
python3-requests	2.32.3+dfsg-5+deb13u1
python3-rpds-py	0.21.0-2+b1
python3-urllib3	2.3.0-3+deb13u1
python3-yaml	6.0.2-1+b2
python3.13	3.13.5-2
python3.13-minimal	3.13.5-2
qemu-system	1:10.0.8+ds-0+deb13u1+b1
qemu-system-arm	1:10.0.8+ds-0+deb13u1+b1
qemu-system-common	1:10.0.8+ds-0+deb13u1+b1
qemu-system-data	1:10.0.8+ds-0+deb13u1
qemu-system-mips	1:10.0.8+ds-0+deb13u1+b1
qemu-system-misc	1:10.0.8+ds-0+deb13u1+b1
qemu-system-ppc	1:10.0.8+ds-0+deb13u1+b1
qemu-system-riscv	1:10.0.8+ds-0+deb13u1+b1
qemu-system-s390x	1:10.0.8+ds-0+deb13u1+b1
qemu-system-sparc	1:10.0.8+ds-0+deb13u1+b1
qemu-system-x86	1:10.0.8+ds-0+deb13u1+b1
qemu-utils	1:10.0.8+ds-0+deb13u1+b1
qrencode	4.1.1-2
radvd	1:2.20-1
rake	13.2.1-1
readline-common	8.2-6
ripgrep	14.1.1-1+b4
router-config	0.15.0-1
rpcbind	1.2.7-1
rpcsvc-proto	1.4.3-1+b1
rsync	3.4.1+ds1-5+deb13u1
rsyslog	8.2504.0-1
ruby	1:3.3+b1
ruby-csv	3.3.4-1
ruby-did-you-mean	1.6.3-2
ruby-net-telnet	0.2.0-1
ruby-ruby2-keywords	0.0.5-1
ruby-rubygems	3.6.7-2
ruby-webrick	1.9.1-1
ruby-xmlrpc	0.3.3-2
ruby3.3	3.3.8-2
rubygems-integration	1.19
runit-helper	2.16.4
samba	2:4.22.8+dfsg-0+deb13u1
samba-common	2:4.22.8+dfsg-0+deb13u1
samba-common-bin	2:4.22.8+dfsg-0+deb13u1
samba-libs:arm64	2:4.22.8+dfsg-0+deb13u1
seabios	1.16.3-2
sed	4.9-2+b1
sensible-utils	0.0.25
sgml-base	1.31+nmu1
socat	1.8.0.3-1
sqv	1.3.0-3+b2
sudo	1.9.16p2-3+deb13u1
systemd	257.9-1~deb13u1
systemd-container	257.9-1~deb13u1
systemd-resolved	257.9-1~deb13u1
systemd-sysv	257.9-1~deb13u1
systemd-timesyncd	257.9-1~deb13u1
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tmux	3.5a-3
toilet	0.3-3
toilet-fonts	0.3-3
tree	2.2.1-1
tzdata	2026a-0+deb13u1
u-boot-tools	2025.01-3
ucf	3.0052
udev	257.9-1~deb13u1
udisks2	2.10.1-12.1+deb13u1
unbound	1.22.0-2+deb13u1
unbound-anchor	1.22.0-2+deb13u1
unzip	6.0-29
usb.ids	2025.07.26-1
usbutils	1:018-2
util-linux	2.41-5
uuid-dev:arm64	2.41-5
vim-common	2:9.1.1230-2
vim-nox	2:9.1.1230-2
vim-runtime	2:9.1.1230-2
virt-install	1:5.0.0-5+deb13u1
virtinst	1:5.0.0-5+deb13u1
wakeonlan	0.41-14
wget	1.25.0-2
whiptail	0.52.25-1
wireguard-tools	1.0.20210914-3
wireless-regdb	2026.02.04-1~deb13u1
wpasupplicant	2:2.10-24
x11-common	1:7.7+24+deb13u1
xauth	1:1.1.2-1.1
xclip	0.13-4+b2
xkb-data	2.42-1
xml-core	0.19
xorriso	1.5.6-1.2+b1
xz-utils	5.8.1-1
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:arm64	1:1.3.dfsg+really1.3.1-1+b1
zsh	5.9-8+b21
zsh-common	5.9-8
