1password-cli	2.34.0-1
gcc-aarch64-linux-gnu	4:14.2.0-1
gettext	0.23.1-2
gettext-base	0.23.1-2
gh	2.46.0-3
gir1.2-atk-1.0:arm64	2.56.2-1+deb13u1
gir1.2-freedesktop:arm64	1.84.0-1
gir1.2-gdkpixbuf-2.0:arm64	2.42.12+dfsg-4+deb13u1
gir1.2-girepository-2.0:arm64	1.84.0-1
gir1.2-glib-2.0:arm64	2.84.4-3~deb13u2
gir1.2-glib-2.0-dev:arm64	2.84.4-3~deb13u2
gir1.2-gtk-3.0:arm64	3.24.49-3
gir1.2-harfbuzz-0.0:arm64	10.2.0-1+b1
gir1.2-nm-1.0:arm64	1.52.1-1
gir1.2-pango-1.0:arm64	1.56.3-1
girepository-tools:arm64	2.84.4-3~deb13u2
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
glib-networking:arm64	2.80.1-1
glib-networking-common	2.80.1-1
glib-networking-services	2.80.1-1
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gpg	2.4.7-21+deb13u1+b2
gpg-agent	2.4.7-21+deb13u1+b2
gpgconf	2.4.7-21+deb13u1+b2
gpgsm	2.4.7-21+deb13u1+b2
gpgv	2.4.7-21+deb13u1+b2
gpiod	2.2.1-2+deb13u1
grep	3.11-4+b1
groff-base	1.23.0-9
gsettings-desktop-schemas	48.0-1
gtk-update-icon-cache	4.18.6+ds-2
gzip	1.13-1
hicolor-icon-theme	0.18-2
hostapd	2:2.10-24
hostname	3.25
htop	3.4.1-5
init	1.69~deb13u1
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.3
initramfs-tools-bin	0.148.3
initramfs-tools-core	0.148.3
install-info	7.1.1-1+b1
intltool-debian	0.35.0+20060710.6
iproute2	6.15.0-1
iptables	1.8.11-2
iputils-ping	3:20240905-3
iw	6.9-1+b1
jq	1.7.1-6+deb13u1
kbd	2.7.1-2
keyboard-configuration	1.242~deb13u1
keyutils	1.6.3-6
klibc-utils	2.0.14-1
kmod	34.2-2
less	668-1
libacl1:arm64	2.3.2-2+b1
libaio1t64:arm64	0.3.113-8+b1
libapparmor1:arm64	4.1.0-1
libappstream5:arm64	1.0.5-1
libapt-pkg7.0:arm64	3.0.3
libarchive-zip-perl	1.68-1
libasan8:arm64	14.2.0-19
libasound2-data	1.2.14-1
libasound2t64:arm64	1.2.14-1
libassuan9:arm64	3.0.2-2
libatasmart4:arm64	0.19-5+b2
libatk-bridge2.0-0t64:arm64	2.56.2-1+deb13u1
libatk1.0-0t64:arm64	2.56.2-1+deb13u1
libatomic1:arm64	14.2.0-19
libatopology2t64:arm64	1.2.14-1
libatspi2.0-0t64:arm64	2.56.2-1+deb13u1
libattr1:arm64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:arm64	1:4.0.2-2+b2
libavahi-client3:arm64	0.8-16
libavahi-common-data:arm64	0.8-16
libavahi-common3:arm64	0.8-16
libb-hooks-op-check-perl:arm64	0.22-3+b2
libbinutils:arm64	2.44-3
libblkid-dev:arm64	2.41-5
libblkid1:arm64	2.41-5
libblockdev-crypto3:arm64	3.3.0-2.1
libblockdev-fs3:arm64	3.3.0-2.1
libblockdev-loop3:arm64	3.3.0-2.1
libblockdev-mdraid3:arm64	3.3.0-2.1
libblockdev-nvme3:arm64	3.3.0-2.1
libblockdev-part3:arm64	3.3.0-2.1
libblockdev-swap3:arm64	3.3.0-2.1
libblockdev-utils3:arm64	3.3.0-2.1
libblockdev3:arm64	3.3.0-2.1
libbluetooth3:arm64	5.82-1.1
libbpf1:arm64	1:1.5.0-3
libbrlapi0.8:arm64	6.7-3.1+deb13u3
libbrotli1:arm64	1.1.0-2+b7
libbsd0:arm64	0.12.2-2
libbytesize-common	2.11-2
libbytesize1:arm64	2.11-2
libbz2-1.0:arm64	1.0.8-6
libc-bin	2.41-12+deb13u2
libc-dev-bin	2.41-12+deb13u2
libc-l10n	2.41-12+deb13u2
libc6:arm64	2.41-12+deb13u2
libc6-dev:arm64	2.41-12+deb13u2
libcaca0:arm64	0.99.beta20-5
libcacard0:arm64	1:2.8.0-3+b2
libcairo-gobject2:arm64	1.18.4-1+b1
libcairo2:arm64	1.18.4-1+b1
libcap-ng0:arm64	0.8.5-4+b1
libcap2:arm64	1:2.75-10+b8
libcap2-bin	1:2.75-10+b8
libcapstone5:arm64	5.0.7-1~deb13u1
libcbor0.10:arm64	0.10.2-2
libcc1-0:arm64	14.2.0-19
libclang-common-19-dev:arm64	1:19.1.7-3+b1
libclang-cpp19	1:19.1.7-3+b1
libclang1-19	1:19.1.7-3+b1
libclass-method-modifiers-perl	2.15-1
libclass-xsaccessor-perl	1.19-4+b5
libclone-perl:arm64	0.47-1+b1
libcloudproviders0:arm64	0.3.6-2
libcolord2:arm64	1.4.7-3
libcom-err2:arm64	1.47.2-3+b10
libcrack2:arm64	2.9.6-5.2+b1
libcrypt-dev:arm64	1:4.4.38-1
libcrypt1:arm64	1:4.4.38-1
libcryptsetup12:arm64	2:2.7.5-2
libctf-nobfd0:arm64	2.44-3
libctf0:arm64	2.44-3
libcups2t64:arm64	2.4.10-3+deb13u2
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u2
libcurl4t64:arm64	8.14.1-2+deb13u2
libdatrie1:arm64	0.2.13-3+b1
libdaxctl1:arm64	81-1
libdb5.3t64:arm64	5.3.28+dfsg2-9
libdbus-1-3:arm64	1.16.2-2
libdconf1:arm64	0.40.0-5
libdebconfclient0:arm64	0.280
libdebhelper-perl	13.24.2
libdeflate0:arm64	1.23-2
libdevel-callchecker-perl:arm64	0.009-2
libdevmapper1.02.1:arm64	2:1.02.205-2
libdialog15:arm64	1.3-20250116-1
libdpkg-perl	1.22.22
libduktape207:arm64	2.7.0-2+b2
libdw1t64:arm64	0.192-4
libdynaloader-functions-perl	0.004-2
libedit2:arm64	3.1-20250104-1
libelf-dev:arm64	0.192-4
libelf1t64:arm64	0.192-4
libencode-locale-perl	1.05-3
libepoxy0:arm64	1.5.10-2
liberror-perl	0.17030-1
libestr0:arm64	0.1.11-2
libevent-2.1-7t64:arm64	2.1.12-stable-10+b1
libevent-core-2.1-7t64:arm64	2.1.12-stable-10+b1
libexecs1:arm64	1.4-2+b2
libexpat1:arm64	2.7.1-2
libext2fs2t64:arm64	1.47.2-3+b10
libfastjson4:arm64	1.2304.0-2
libfdisk1:arm64	2.41-5
libfdt1:arm64	1.7.2-2+b1
libffi-dev:arm64	3.4.8-2
libffi8:arm64	3.4.8-2
libfftw3-single3:arm64	3.3.10-2+b1
libfido2-1:arm64	1.15.0-1+b1
libfile-dirlist-perl	0.05-3
libfile-fnmatch-perl	0.02-3+b4
libfile-homedir-perl	1.006-2
libfile-listing-perl	6.16-1
libfile-stripnondeterminism-perl	1.14.1-2
libfile-touch-perl	0.12-2
libfile-which-perl	1.27-2
libfontconfig1:arm64	2.15.0-2.3
libfreetype6:arm64	2.13.3+dfsg-1+deb13u1
libfribidi0:arm64	1.0.16-1
libfstrm0:arm64	0.6.1-1+b3
libfuse3-4:arm64	3.17.2-3
libgc1:arm64	1:8.2.8-1
libgcc-14-dev:arm64	14.2.0-19
libgcc-s1:arm64	14.2.0-19
libgccjit0:arm64	14.2.0-19
libgcrypt20:arm64	1.11.0-7
libgdbm-compat4t64:arm64	1.24-2
libgdbm6t64:arm64	1.24-2
libgdk-pixbuf-2.0-0:arm64	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-common	2.42.12+dfsg-4+deb13u1
libgio-2.0-dev:arm64	2.84.4-3~deb13u2
libgio-2.0-dev-bin	2.84.4-3~deb13u2
libgirepository-1.0-1:arm64	1.84.0-1
libgirepository-2.0-0:arm64	2.84.4-3~deb13u2
libgit2-1.9:arm64	1.9.0+ds-2
libglib2.0-0t64:arm64	2.84.4-3~deb13u2
libglib2.0-bin	2.84.4-3~deb13u2
libglib2.0-data	2.84.4-3~deb13u2
libglib2.0-dev:arm64	2.84.4-3~deb13u2
libglib2.0-dev-bin	2.84.4-3~deb13u2
libgmp10:arm64	2:6.3.0+dfsg-3
libgnutls30t64:arm64	3.8.9-3+deb13u2
libgomp1:arm64	14.2.0-19
libgpg-error0:arm64	1.51-4
libgpgme11t64:arm64	1.24.2-3
libgpiod3:arm64	2.2.1-2+deb13u1
libgpm2:arm64	1.20.7-11+b2
libgprofng0:arm64	2.44-3
libgraphite2-3:arm64	1.3.14-2+b1
libgssapi-krb5-2:arm64	1.21.3-5
libgstreamer1.0-0:arm64	1.26.2-2
libgtk-3-0t64:arm64	3.24.49-3
libgtk-3-common	3.24.49-3
libgudev-1.0-0:arm64	238-6
libharfbuzz-gobject0:arm64	10.2.0-1+b1
libharfbuzz0b:arm64	10.2.0-1+b1
libhiredis1.1.0:arm64	1.2.0-6+b3
libhogweed6t64:arm64	3.10.1-1
libhtml-parser-perl:arm64	3.83-1+b2
libhtml-tagset-perl	3.24-1
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-date-perl	6.06-1
libhttp-message-perl	7.00-2
libhttp-negotiate-perl	6.01-2
libhttp-parser2.9:arm64	2.9.4-6+b2
libhwasan0:arm64	14.2.0-19
libibverbs1:arm64	56.1-1
libidn2-0:arm64	2.3.8-2
libimobiledevice-1.0-6:arm64	1.3.0+git20250228-2
libimobiledevice-glue-1.0-0	1.3.1-1
libimport-into-perl	1.002005-2
libiniparser4:arm64	4.2.6-1
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.089-1
libip4tc2:arm64	1.8.11-2
libip6tc2:arm64	1.8.11-2
libisl23:arm64	0.27-1
libitm1:arm64	14.2.0-19
libjansson4:arm64	2.14-2+b3
libjbig0:arm64	2.1-6.1+b2
libjemalloc2:arm64	5.3.0-3
libjim0.83:arm64	0.83-2
libjpeg62-turbo:arm64	1:2.1.5-4
libjq1:arm64	1.7.1-6+deb13u1
libjson-c-dev:arm64	0.18+ds-1
libjson-c5:arm64	0.18+ds-1
libjson-glib-1.0-0:arm64	1.10.6+ds-2
libjson-glib-1.0-common	1.10.6+ds-2
libk5crypto3:arm64	1.21.3-5
libkeyutils1:arm64	1.6.3-6
libklibc:arm64	2.0.14-1
libkmod2:arm64	34.2-2
libkrb5-3:arm64	1.21.3-5
libkrb5support0:arm64	1.21.3-5
libksba8:arm64	1.6.7-2+b1
liblastlog2-2:arm64	2.41-5
liblcms2-2:arm64	2.16-2
libldap2:arm64	2.6.10+dfsg-1
liblerc4:arm64	4.0.0+ds-5
libllvm19:arm64	1:19.1.7-3+b1
liblmdb0:arm64	0.9.31-1+b2
liblocale-gettext-perl	1.07-7+b1
liblognorm5:arm64	2.0.6-5
liblsan0:arm64	14.2.0-19
liblsof0	4.99.4+dfsg-2
liblua5.1-0:arm64	5.1.5-11
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.14-1
liblz4-1:arm64	1.10.0-4
liblzma5:arm64	5.8.1-1
liblzo2-2:arm64	2.10-3+b1
libmagic-mgc	1:5.46-5
libmagic1t64:arm64	1:5.46-5
libmaxminddb0:arm64	1.12.2-1
libmbedcrypto16:arm64	3.6.5-0.1~deb13u1
libmbedtls21:arm64	3.6.5-0.1~deb13u1
libmbedx509-7:arm64	3.6.5-0.1~deb13u1
libmbim-glib4:arm64	1.32.0-1
libmbim-proxy	1.32.0-1
libmbim-utils	1.32.0-1
libmd0:arm64	1.1.0-2+b1
libmm-glib0:arm64	1.24.0-1+deb13u1
libmnl0:arm64	1.0.5-3
libmodule-runtime-perl	0.018-1
libmoo-perl	2.005005-1
libmount-dev:arm64	2.41-5
libmount1:arm64	2.41-5
libmpc3:arm64	1.3.1-1+b3
libmpfr6:arm64	4.2.2-1
libncursesw6:arm64	6.5+20250216-2
libndctl6:arm64	81-1
libndp0:arm64	1.9-1+b1
libnet-http-perl	6.23-1
libnet-ssleay-perl:arm64	1.94-3
libnetfilter-conntrack3:arm64	1.1.0-1
libnetplan1:arm64	1.1.2-7
libnettle8t64:arm64	3.10.1-1
libnewt0.52:arm64	0.52.25-1
libnfnetlink0:arm64	1.0.2-3
libnfsidmap1:arm64	1:2.8.3-1
libnftables1:arm64	1.1.3-1
libnftnl11:arm64	1.2.9-1
libnghttp2-14:arm64	1.64.0-1.1
libnghttp3-9:arm64	1.8.0-1
libngtcp2-16:arm64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64	1.11.0-1+deb13u1
libnl-3-200:arm64	3.7.0-2
libnl-genl-3-200:arm64	3.7.0-2
libnl-route-3-200:arm64	3.7.0-2
libnm-dev:arm64	1.52.1-1
libnm0:arm64	1.52.1-1
libnpth0t64:arm64	1.8-3
libnspr4:arm64	2:4.36-1
libnss-systemd:arm64	257.9-1~deb13u1
libnss3:arm64	2:3.110-1+deb13u1
libnuma1:arm64	2.0.19-1
libnvme1t64	1.13-2
libobjc-14-dev:arm64	14.2.0-19
libobjc4:arm64	14.2.0-19
libonig5:arm64	6.9.9-1+b1
libp11-kit0:arm64	0.25.5-3
libpackagekit-glib2-18:arm64	1.3.1-1+deb13u1
libpam-modules:arm64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:arm64	257.9-1~deb13u1
libpam0g:arm64	1.7.0-5
libpango-1.0-0:arm64	1.56.3-1
libpangocairo-1.0-0:arm64	1.56.3-1
libpangoft2-1.0-0:arm64	1.56.3-1
libpangoxft-1.0-0:arm64	1.56.3-1
libparams-classify-perl:arm64	0.015-2+b4
libparted2t64:arm64	3.6-5
libpcap0.8t64:arm64	1.10.5-2
libpciaccess0:arm64	0.17-3+b3
libpcre2-16-0:arm64	10.46-1~deb13u1
libpcre2-32-0:arm64	10.46-1~deb13u1
libpcre2-8-0:arm64	10.46-1~deb13u1
libpcre2-dev:arm64	10.46-1~deb13u1
libpcre2-posix3:arm64	10.46-1~deb13u1
libpcsclite1:arm64	2.3.3-1
libperl5.40:arm64	5.40.1-6
libpipeline1:arm64	1.5.8-1
libpixman-1-0:arm64	0.44.0-3
libpkgconf3:arm64	1.8.1-4
libplist-2.0-4:arm64	2.6.0-2+b1
libpmem1:arm64	1.13.1-1.1+b1
libpng16-16t64:arm64	1.6.48-1+deb13u4
libpolkit-agent-1-0:arm64	126-2
libpolkit-gobject-1-0:arm64	126-2
libpopt0:arm64	1.19+dfsg-2
libproc2-0:arm64	2:4.0.4-9
libprotobuf-c1:arm64	1.5.1-1
libproxy1v5:arm64	0.5.9-1
libpsl5t64:arm64	0.21.2-1.1+b1
libpwquality-common	1.4.5-5
libpwquality-tools	1.4.5-5
libpwquality1:arm64	1.4.5-5
libpython3-stdlib:arm64	3.13.5-1
libpython3.13:arm64	3.13.5-2
libpython3.13-minimal:arm64	3.13.5-2
libpython3.13-stdlib:arm64	3.13.5-2
libqmi-glib5:arm64	1.36.0-1
libqmi-proxy	1.36.0-1
libqmi-utils	1.36.0-1
libqrencode4:arm64	4.1.1-2
libqrtr-glib0:arm64	1.2.2-1+b2
librdmacm1t64:arm64	56.1-1
libreadline8t64:arm64	8.2-6
libreiserfscore0t64	1:3.6.27-9
librole-tiny-perl	2.002004-1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b5
libruby:arm64	1:3.3+b1
libruby3.3:arm64	3.3.8-2
libsamplerate0:arm64	0.2.2-4+b2
libsasl2-2:arm64	2.1.28+dfsg1-9
libsasl2-modules-db:arm64	2.1.28+dfsg1-9
libseccomp2:arm64	2.6.0-2
libselinux1:arm64	3.8.1-1
libselinux1-dev:arm64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:arm64	3.8.1-1
libsensors-config	1:3.6.2-2
libsensors5:arm64	1:3.6.2-2
libsepol-dev:arm64	3.8.1-1
libsepol2:arm64	3.8.1-1
libsframe1:arm64	2.44-3
libsharpyuv0:arm64	1.5.0-0.1
libslang2:arm64	2.3.3-5+b2
libslirp0:arm64	4.8.0-1+b1
libsmartcols1:arm64	2.41-5
libsodium23:arm64	1.0.18-1+deb13u1
libsqlite3-0:arm64	3.46.1-7+deb13u1
libss2:arm64	1.47.2-3+b10
libssh-4:arm64	0.11.2-1+deb13u1
libssh2-1t64:arm64	1.11.1-1
libssl-dev:arm64	3.5.5-1~deb13u2
libssl3t64:arm64	3.5.5-1~deb13u2
libstd-rust-1.85:arm64	1.85.0+dfsg3-1
libstd-rust-dev:arm64	1.85.0+dfsg3-1
libstdc++-14-dev:arm64	14.2.0-19
libstdc++6:arm64	14.2.0-19
libstemmer0d:arm64	2.2.0-4+b2
libsub-quote-perl	2.006008-1
libsysprof-capture-4-dev:arm64	48.0-2
libsystemd-shared:arm64	257.9-1~deb13u1
libsystemd0:arm64	257.9-1~deb13u1
libtasn1-6:arm64	4.20.0-2
libtcl8.6:arm64	8.6.16+dfsg-1
libteamdctl0:arm64	1.31-1+b2
libtext-charwidth-perl:arm64	0.04-11+b4
libtext-iconv-perl:arm64	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2
libthai0:arm64	0.1.29-2+b1
libtiff6:arm64	4.7.0-3+deb13u2
libtimedate-perl	2.3300-2
libtinfo6:arm64	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64:arm64	1.3.6+ds-1
libtool	2.5.4-4
libtree-sitter0.22:arm64	0.22.6-6+b1
libtry-tiny-perl	0.32-1
libtsan2:arm64	14.2.0-19
libubsan1:arm64	14.2.0-19
libuchardet0:arm64	0.0.8-1+b2
libudev1:arm64	257.9-1~deb13u1
libudisks2-0:arm64	2.10.1-12.1+deb13u1
libunbound8:arm64	1.22.0-2+deb13u1
libunistring5:arm64	1.3-2
libupower-glib3:arm64	1.90.9-1
liburcu8t64:arm64	0.15.2-2
liburi-perl	5.30-1
liburing2:arm64	2.9-1
libusb-1.0-0:arm64	2:1.0.28-1
libusb-1.0-0-dev:arm64	2:1.0.28-1
libusbmuxd-2.0-7:arm64	2.1.0-1+b1
libusbredirparser1t64:arm64	0.15.0-1
libuuid1:arm64	2.41-5
libuv1t64:arm64	1.50.0-2
libvdeplug2t64:arm64	4.0.1-5.1+b1
libvirt-clients	11.3.0-3+deb13u2
libvirt-common	11.3.0-3+deb13u2
libvirt-daemon	11.3.0-3+deb13u2
libvirt-daemon-common	11.3.0-3+deb13u2
libvirt-daemon-config-network	11.3.0-3+deb13u2
libvirt-daemon-config-nwfilter	11.3.0-3+deb13u2
libvirt-daemon-driver-network	11.3.0-3+deb13u2
libvirt-daemon-driver-nodedev	11.3.0-3+deb13u2
libvirt-daemon-driver-nwfilter	11.3.0-3+deb13u2
libvirt-daemon-driver-qemu	11.3.0-3+deb13u2
libvirt-daemon-driver-secret	11.3.0-3+deb13u2
libvirt-daemon-driver-storage	11.3.0-3+deb13u2
libvirt-daemon-log	11.3.0-3+deb13u2
libvirt-daemon-system	11.3.0-3+deb13u2
libvirt0:arm64	11.3.0-3+deb13u2
libvolume-key1:arm64	0.3.12-9
libwayland-client0:arm64	1.23.1-3
libwayland-cursor0:arm64	1.23.1-3
libwayland-egl1:arm64	1.23.1-3
libwebp7:arm64	1.5.0-0.1
libwrap0:arm64	7.6.q-36
libwtmpdb0:arm64	0.73.0-3+deb13u1
libwww-perl	6.78-1
libwww-robotrules-perl	6.02-1
libx11-6:arm64	2:1.8.12-1
libx11-data	2:1.8.12-1
libxau6:arm64	1:1.0.11-1
libxcb-render0:arm64	1.17.0-2+b1
libxcb-shm0:arm64	1.17.0-2+b1
libxcb1:arm64	1.17.0-2+b1
libxcomposite1:arm64	1:0.4.6-1
libxcursor1:arm64	1:1.2.3-1
libxdamage1:arm64	1:1.1.6-1+b2
libxdmcp6:arm64	1:1.1.5-1
libxext6:arm64	2:1.3.4-1+b3
libxfixes3:arm64	1:6.0.0-2+b4
libxft2:arm64	2.3.6-1+b4
libxi6:arm64	2:1.8.2-1
libxinerama1:arm64	2:1.1.4-3+b4
libxkbcommon0:arm64	1.7.0-2
libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxml2-utils	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxmlb2:arm64	0.3.22-1
libxrandr2:arm64	2:1.5.4-1+b3
libxrender1:arm64	1:0.9.12-1
libxtables12:arm64	1.8.11-2
libxxhash0:arm64	0.8.3-2
libyaml-0-2:arm64	0.2.5-2
libyyjson0:arm64	0.10.0+ds-1+b1
libz3-4:arm64	4.13.3-1
libzstd-dev:arm64	1.5.7+dfsg-1
libzstd1:arm64	1.5.7+dfsg-1
linux-base	4.12.1
linux-dtb-current-rockchip64	26.05.0-trunk
linux-headers-current-rockchip64	26.05.0-trunk
linux-image-current-rockchip64	26.05.0-trunk
linux-libc-dev	6.12.85-1
linux-u-boot-photonicat2-current	26.05.0-trunk
llvm-19-linker-tools	1:19.1.7-3+b1
lm-sensors	1:3.6.2-2
locales	2.41-12+deb13u2
login	1:4.16.0-2+really2.41-5
login.defs	1:4.17.4-2
logrotate	3.22.0-1+b2
logsave	1.47.2-3+b10
lsb-release	12.1-1
lsof	4.99.4+dfsg-2
m4	1.4.19-8
make	4.4.1-2
man-db	2.13.1-1
mawk	1.3.4.20250131-1
mdevctl	1.4.0-2+b1
media-types	13.0.0
meson	1.7.0-1
mmc-utils	0+git20240329.f757f413-1+b1
mobile-broadband-provider-info	20250613-2
modemmanager	1.24.0-1+deb13u1
mold	2.37.1+dfsg-1
mount	2.41-5
mtd-utils	1:2.3.0-1
nano	8.4-1
native-architecture	0.2.6
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
ncurses-term	6.5+20250216-2
ndppd	0.2.5-6+b1
netbase	6.5
netcat-openbsd	1.229-1
netplan-generator	1.1.2-7
netplan.io	1.1.2-7
network-manager	1.52.1-1
nfs-common	1:2.8.3-1
nfs-kernel-server	1:2.8.3-1
nftables	1.1.3-1
ninja-build	1.12.1-1+b1
openssh-client	1:10.0p1-7+deb13u2
openssh-server	1:10.0p1-7+deb13u2
openssh-sftp-server	1:10.0p1-7+deb13u2
openssl	3.5.5-1~deb13u2
openssl-provider-legacy	3.5.5-1~deb13u2
packagekit	1.3.1-1+deb13u1
pahole	1.30-1
parted	3.6-5
passwd	1:4.17.4-2
patch	2.8-2
patchutils	0.4.2-1+b1
pcat2-mini-display	0.0.0-d9ef091
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
perl-openssl-defaults:arm64	7+b2
photonicat-pm-dkms	1.0.3-1
pinentry-curses	1.3.1-2
pkg-config:arm64	1.8.1-4
pkgconf:arm64	1.8.1-4
pkgconf-bin	1.8.1-4
po-debconf	1.0.21+nmu1
polkitd	126-2
power-profiles-daemon	0.30-1.1
procps	2:4.0.4-9
psmisc	23.7-2
pv	1.9.31-1
python3	3.13.5-1
python3-attr	25.3.0-1
python3-autocommand	2.2.2-3
python3-cffi-backend:arm64	1.17.1-3
python3-dbus	1.4.0-1
python3-firewall	2.3.1-1
python3-gi	3.50.0-4+b1
python3-inflect	7.3.1-2
python3-jaraco.context	6.0.1-1+deb13u1
python3-jaraco.functools	4.1.0-1
python3-jaraco.text	4.0.0-1
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-minimal	3.13.5-1
python3-more-itertools	10.7.0-1
python3-netplan	1.1.2-7
python3-nftables	1.1.3-1
python3-packaging	25.0-1
python3-pkg-resources	78.1.1-0.1
python3-referencing	0.36.2-1
python3-rpds-py	0.21.0-2+b1
python3-setuptools	78.1.1-0.1
python3-typeguard	4.4.2-1
